"filename", "language", "Shell Script", "YAML", "JavaScript", "SQL", "Markdown", "JSON", "comment", "blank", "total"
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/.github/workflows/main.yml", "YAML", 0, -100, 0, 0, 0, 0, 0, -18, -118
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/.trybe/requirements.json", "JSON", 0, 0, 0, 0, 0, -284, 0, 0, -284
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/README.md", "Markdown", 0, 0, 0, 0, -2161, 0, 0, -360, -2521
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/00_coverage_tests.test.js", "JavaScript", 0, 0, -69, 0, 0, 0, 0, -13, -82
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/01_database.test.js", "JavaScript", 0, 0, -30, 0, 0, 0, 0, -7, -37
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/02_login_validate.test.js", "JavaScript", 0, 0, -162, 0, 0, 0, 0, -51, -213
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/03_findTeams.test.js", "JavaScript", 0, 0, -116, 0, 0, 0, 0, -12, -128
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/04_resultMatches.test.js", "JavaScript", 0, 0, -51, 0, 0, 0, 0, -21, -72
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/05_insertMatches.test.js", "JavaScript", 0, 0, -144, 0, 0, 0, 0, -32, -176
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/06_editMatches.test.js", "JavaScript", 0, 0, -66, 0, 0, 0, 0, -24, -90
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/07_leaderboard_home.test.js", "JavaScript", 0, 0, -56, 0, 0, 0, 0, -11, -67
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/08_leaderboard_away.test.js", "JavaScript", 0, 0, -54, 0, 0, 0, 0, -15, -69
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/E2E/09_leaderboard_table.test.js", "JavaScript", 0, 0, -72, 0, 0, 0, 0, -19, -91
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/constants.js", "JavaScript", 0, 0, -39, 0, 0, 0, 0, -2, -41
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/puppeteer.js", "JavaScript", 0, 0, -39, 0, 0, 0, 0, -11, -50
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/sequelize.js", "JavaScript", 0, 0, -32, 0, 0, 0, 0, -11, -43
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/sequencer.js", "JavaScript", 0, 0, -8, 0, 0, 0, 0, -3, -11
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/awayResult.js", "JavaScript", 0, 0, -390, 0, 0, 0, 0, -1, -391
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/homeResult.js", "JavaScript", 0, 0, -390, 0, 0, 0, 0, 0, -390
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/index.js", "JavaScript", 0, 0, -8, 0, 0, 0, 0, -2, -10
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/state01.js", "JavaScript", 0, 0, -195, 0, 0, 0, 0, -2, -197
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/state02.js", "JavaScript", 0, 0, -195, 0, 0, 0, 0, -2, -197
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/state03.js", "JavaScript", 0, 0, -195, 0, 0, 0, 0, -1, -196
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/allMatches.js", "JavaScript", 0, 0, -387, 0, 0, 0, 0, -2, -389
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/index.js", "JavaScript", 0, 0, -8, 0, 0, 0, 0, -2, -10
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/onlyFinished.js", "JavaScript", 0, 0, -323, 0, 0, 0, 0, -2, -325
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/onlyInProgress.js", "JavaScript", 0, 0, -67, 0, 0, 0, 0, -2, -69
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/expected_results/matches.js", "JavaScript", 0, 0, -323, 0, 0, 0, 0, -2, -325
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/expected_results/teams.js", "JavaScript", 0, 0, -19, 0, 0, 0, 0, -2, -21
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/expected_results/trybe_football_club.js", "JavaScript", 0, 0, -412, 0, 0, 0, 0, -2, -414
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/commands.js", "JavaScript", 0, 0, -31, 0, 0, 0, 0, -4, -35
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/configSequelize.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -1, -12
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/dataTestIds.js", "JavaScript", 0, 0, -73, 0, 0, 0, 0, -1, -74
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/inserts.js", "JavaScript", 0, 0, -59, 0, 0, 0, -12, -20, -91
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/logInto.js", "JavaScript", 0, 0, -30, 0, 0, 0, 0, -16, -46
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/query.js", "JavaScript", 0, 0, -17, 0, 0, 0, 0, -1, -18
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/testCoverage.js", "JavaScript", 0, 0, -21, 0, 0, 0, 0, -7, -28
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/urls.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -3, -14
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/users.js", "JavaScript", 0, 0, -34, 0, 0, 0, 0, -1, -35
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/util.js", "JavaScript", 0, 0, -86, 0, 0, 0, -2, -24, -112
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/validateLeaderboard.js", "JavaScript", 0, 0, -75, 0, 0, 0, 0, -16, -91
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/validateMatches.js", "JavaScript", 0, 0, -39, 0, 0, 0, 0, -11, -50
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/waitForResponse.js", "JavaScript", 0, 0, -77, 0, 0, 0, 0, -10, -87
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/apps_install.sh", "Shell Script", -10, 0, 0, 0, 0, 0, -1, -3, -14
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/data-testid.md", "Markdown", 0, 0, 0, 0, -51, 0, 0, -11, -62
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/db.example.sql", "SQL", 0, 0, 0, -51, 0, 0, -18, -18, -87
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/dockerfile_denylist.sh", "Shell Script", -32, 0, 0, 0, 0, 0, -1, -6, -39
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/jest.config.js", "JavaScript", 0, 0, -4, 0, 0, 0, -4, 0, -8
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/package-lock.json", "JSON", 0, 0, 0, 0, 0, -17891, 0, -1, -17892
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/package.json", "JSON", 0, 0, 0, 0, 0, -40, 0, -1, -41
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/pull_request_template.md", "Markdown", 0, 0, 0, 0, -36, 0, 0, -13, -49
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/trybe.yml", "YAML", 0, -22, 0, 0, 0, 0, 0, -1, -23
"Total", "-", -42, -122, -4418, -51, -2248, -18215, -38, -801, -25935